t [s],u [deg],y [deg],i [A],Finished_late
0.022000,-0.005720,0.000610,0.003204,0.000000
0.022050,-0.006465,-0.010376,-0.013428,0.000000
0.022100,-0.006864,-0.004272,-0.041656,0.000000
0.022150,-0.006885,-0.012207,-0.012207,0.000000
0.022200,-0.006577,-0.009766,-0.025482,0.000000
0.022250,-0.006083,-0.003662,0.018921,0.000000
0.022300,-0.005547,-0.004272,-0.018768,0.000000
0.022350,-0.005057,-0.011597,-0.007629,0.000000
0.022400,-0.004723,-0.003052,-0.017395,0.000000
0.022450,-0.004637,-0.003052,0.005341,0.000000
0.022500,-0.004745,0.001831,-0.026703,0.000000
0.022550,-0.004871,-0.016479,-0.037079,0.000000
0.022600,-0.004918,-0.015259,-0.002289,0.000000
0.022650,-0.004948,-0.006104,-0.004730,0.000000
0.022700,-0.005027,0.012817,-0.029602,0.000000
0.022750,-0.005025,-0.006714,-0.001831,0.000000
0.022800,-0.004676,-0.000610,-0.009460,0.000000
0.022850,-0.003835,-0.011597,-0.017853,0.000000
0.022900,-0.002672,-0.009766,-0.037384,0.000000
0.022950,-0.001588,0.006714,-0.007782,0.000000
0.023000,-0.000985,-0.014038,-0.000610,0.000000
0.023050,-0.001004,0.003662,0.012207,0.000000
0.023100,-0.001488,0.006104,-0.017090,0.000000
0.023150,-0.002182,0.010376,-0.019684,0.000000
0.023200,-0.002913,0.000000,-0.015259,0.000000
0.023250,-0.003537,-0.013428,-0.020294,0.000000
0.023300,-0.003831,0.006104,-0.027313,0.000000
0.023350,-0.003603,0.006714,-0.001678,0.000000
0.023400,-0.002903,0.000610,0.005951,0.000000
0.023450,-0.002048,-0.002441,0.013428,0.000000
0.023500,-0.001477,0.006714,0.019073,0.000000
0.023550,-0.001539,0.002441,-0.014191,0.000000
0.023600,-0.002240,0.003052,0.021210,0.000000
0.023650,-0.003175,0.009155,-0.004425,0.000000
0.023700,-0.003802,-0.003052,-0.020752,0.000000
0.023750,-0.003775,0.010986,-0.000153,0.000000
0.023800,-0.003051,0.009766,0.006866,0.000000
0.023850,-0.001801,0.007935,0.001068,0.000000
0.023900,-0.000338,-0.007935,-0.015717,0.000000
0.023950,0.000943,0.001831,0.007324,0.000000
0.024000,0.001706,-0.013428,0.009918,0.000000
0.024050,0.001848,0.000000,-0.007935,0.000000
0.024100,0.001522,0.004272,0.002441,0.000000
0.024150,0.001036,0.007935,0.000305,0.000000
0.024200,0.000718,0.012817,-0.006866,0.000000
0.024250,0.000754,0.005493,-0.000763,0.000000
0.024300,0.001106,-0.001831,-0.014801,0.000000
0.024350,0.001571,-0.001831,-0.010376,0.000000
0.024400,0.001897,0.010986,-0.017090,0.000000
0.024450,0.001887,0.006714,0.008850,0.000000
0.024500,0.001479,0.020142,0.004120,0.000000
0.024550,0.000809,0.024414,-0.006714,0.000000
0.024600,0.000160,0.008545,-0.011902,0.000000
0.024650,-0.000220,-0.002441,-0.002289,0.000000
0.024700,-0.000248,-0.005493,-0.024719,0.000000
0.024750,0.000030,-0.001221,-0.001984,0.000000
0.024800,0.000520,0.006104,-0.025940,0.000000
0.024850,0.001045,-0.003662,-0.014038,0.000000
0.024900,0.001291,-0.018921,0.001678,0.000000
0.024950,0.000987,-0.010986,-0.004120,0.000000
0.025000,0.000213,0.000610,-0.006104,0.000000
0.025050,-0.000582,0.007324,-0.024719,0.000000
0.025100,-0.001002,0.005493,-0.033722,0.000000
0.025150,-0.001078,-0.005493,0.006561,0.000000
0.025200,-0.001162,-0.001221,-0.005798,0.000000
0.025250,-0.001520,-0.009155,-0.011597,0.000000
0.025300,-0.002085,-0.007324,-0.023499,0.000000
0.025350,-0.002577,0.001831,-0.012970,0.000000
0.025400,-0.002779,-0.006104,-0.028229,0.000000
0.025450,-0.002709,-0.001831,-0.011597,0.000000
0.025500,-0.002556,-0.013428,-0.018921,0.000000
0.025550,-0.002538,0.004272,-0.011139,0.000000
0.025600,-0.002833,0.004272,-0.009003,0.000000
